sequence,kind,id,section,title,format,layout_label,size,quality,background,filename,caption,overlay,style,role,prompt_core
109,subsection,13.3,13,The dot product measures alignment,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,109_13_3_the_dot_product_measures_alignment.png,The dot product measures how much one vector points along another.,Overlay angle/projection markers later.,alignment-and-projection plate,"Make the dot product feel like measured directional agreement, not a mysterious formula.","Show two vectors meeting at an angle, with one casting a projection onto the direction of the other, and a luminous overlap-like quantity indicating alignment. The image should connect angle, projection, and magnitude in one concise composition. Precise linework, calm spatial depth, overlay-friendly for angle marks or projection brackets."
110,subsection,13.4,13,Matrices are transformation machines,H,Half-page conceptual plate,1536x1024,high,opaque,110_13_4_matrices_are_transformation_machines.png,Matrices are machines that act on entire spaces at once.,,transformation-room plate,"Embodied matrices as devices that stretch, shear, rotate, and reflect entire space.","Illustrate a simple grid or room being acted on by an invisible machine so that the whole space stretches, shears, or rotates. Include a familiar object like a book or cube so the deformation is felt bodily. The scene should make a matrix feel like an action on space, not a rectangle of numbers. Clean, engineering-grade, concept-first."
111,subsection,13.5,13,Historical note: why this language won,V,Historical vignette,1024x1536,high,opaque,111_13_5_historical_note_why_this_language_won.png,This language won because it organizes many worlds at once.,,historical-modern utility montage,Show why vectors and matrices became irresistible across science and engineering.,"Create a measured montage linking artillery or navigation vectors, engineering stress diagrams, computer graphics grids, and modern data or physics imagery, all unified by transformation language. The point is not breadth for its own sake but the recurring usefulness of a compact language for direction and change. Crisp, coherent, no clutter."
112,subsection,13.6,13,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,112_13_6_thought_experiments.png,"Move the arrow, rotate the book, and let the structure announce itself.",,book-rotation thought sketch,"Invite the learner to feel free vectors, alignment, and order-sensitive rotations.","Show a book or block being rotated around one axis and then another in alternate orders, plus two identical arrows moved to different places without changing identity. Add a tiny projection scene for alignment. Sparse and tactile, like a margin note asking the reader to try it with their own hands."
113,subsection,B.1,B,"Before coordinates, geometry and algebra spoke different dialects",V,Historical vignette,1024x1536,high,opaque,113_B_1_before_coordinates_geometry_and_algebra_spoke_different_dialects.png,Coordinates built a bridge between shape and symbol.,,two-dialects tableau,Show the historical gap between shape-thinking and symbolic equation-thinking.,"Create a split historical tableau: on one side a geometer working with shapes, compass, and diagram; on the other an algebraist surrounded by symbolic manipulation. In the middle, leave an almost-empty bridge waiting to be built. The image should communicate that analytic geometry was a translation breakthrough between two already powerful but separate languages."
114,subsection,B.2,B,A point gets an address,H,Half-page conceptual plate,1536x1024,high,opaque,114_B_2_a_point_gets_an_address.png,A coordinate is an address relative to chosen axes.,,addressing-space plate,"Make coordinate assignment feel like choosing an address system, not discovering essence.","Show a point in the plane receiving an address from two perpendicular reference directions, like a city intersection map translated into pure geometry. The point should remain the same object while different frames could, in principle, describe it differently. Clear, map-like, elegant, and adult."
115,subsection,B.3,B,"Equation as locus, not just a sentence to solve",D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,115_B_3_equation_as_locus_not_just_a_sentence_to_solve.png,"An equation can describe a place, not only a puzzle.",Overlay specific equations later.,locus plate,Shift equation-thinking from verbal command to geometric set of points.,"Illustrate an equation coming alive as a curve or line: countless points satisfying one common constraint and glowing into a visible locus. The image should make 'equation' feel like a habitat of points, not a line of text begging to be manipulated. Clean graph geometry with atmospheric restraint, ready for optional overlays."
116,subsection,B.4,B,Solving becomes intersection,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,116_B_4_solving_becomes_intersection.png,Solving can mean finding where two worlds agree.,Overlay exact axes and curve labels later.,intersection-as-solving plate,Show simultaneous solution as where constraints meet.,"Compose two curves or a curve and a line in the coordinate plane whose intersection point glows as the place where both constraints are true at once. The rest of each graph should remain visible enough that the meaning of simultaneous truth is felt. Elegant analytic geometry, uncluttered, overlay-friendly for exact graphs if needed."
117,subsection,B.5,B,Another lens: machine view and constraint view,S,Split-screen corrective plate,1536x1024,high,opaque,117_B_5_another_lens_machine_view_and_constraint_view.png,The same expression can be read as a machine or as a constraint.,,machine-vs-constraint plate,Offer two complementary readings of equations and functions.,"Design a split image. One side treats a formula as a machine transforming an input into an output. The other treats the same formula as a constraint carving out a shape or locus in space. The two views should visibly share structure rather than compete. Clean modern design, transparent layers, conceptual generosity."
118,subsection,B.6,B,Historical note: analytic geometry changed the landscape,V,Historical vignette,1024x1536,high,opaque,118_B_6_historical_note_analytic_geometry_changed_the_landscape.png,"Once shape and symbol could translate, mathematics accelerated.",,analytic-geometry revolution tableau,Historicize the coordinate bridge as a true reorganization of the subject.,"Create a scene inspired by early modern analytic geometry: a room where diagrammatic geometry and symbolic algebra meet on the same surface, with curves gaining equations and equations gaining shape. Avoid portrait cliché; focus on the conceptual merger. Warm paper, precise lines, the feeling of a landscape being redrawn."
119,subsection,B.7,B,Why this bridge matters for the rest of the book,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,119_B_7_why_this_bridge_matters_for_the_rest_of_the_book.png,Coordinates make later function and calculus thinking possible.,,bridge-forward plate,Make coordinates feel like the hinge from geometry into functions and calculus.,"Design a bridge image in which a coordinate grid becomes a curve, the curve becomes a function, the function grows tangents and areas, and the whole analytic world of later chapters unfolds. The point is continuity: coordinates are not a side chapter but the gateway to modern curve-thinking. Spacious, elegant, future-facing."
120,subsection,B.8,B,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,120_B_8_thought_experiments.png,"Ask yourself whether you are reading an address, a machine, or a constraint.",,map-to-equation sketch,Invite the learner to switch between shape and symbolic report.,"Show a point being read off a grid, a circle being recognized as the set of points a fixed distance from a center, and two crossing graphs turning into a solved system. Keep it sparse and portable, like a set of private check-your-understanding sketches. Mentally runnable at a glance."
121,subsection,14.1,14,The mapping itself is an object,H,Half-page conceptual plate,1536x1024,high,opaque,121_14_1_the_mapping_itself_is_an_object.png,A function is not just what it does; it is also a thing in its own right.,,function-machine plate,Make the shift from action to object explicit and almost physical.,"Illustrate a clear but elegant machine that takes in one kind of input and reliably produces one output, while the machine itself is highlighted as the real object of attention. Avoid childish gears; think transparent scientific instrument or sculptural mechanism. The reader should feel that a rule can itself be studied, combined, inverted, and transformed."
122,subsection,14.2,14,The graph makes the function visible,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,122_14_2_the_graph_makes_the_function_visible.png,A graph is the function showing its body.,Overlay axes and sample points later.,graph-as-visibility plate,Turn mapping into a visible curve in the plane.,"Show a set of input-output pairs rising into the plane and cohering into a continuous graph, with the curve felt as the visible body of the function. The image should treat the graph not as homework paper but as the function made visible. Elegant coordinate aesthetics, transparent grid, optional overlay for axes and points."
123,subsection,14.3,14,Composition is feeding one machine into another,H,Half-page conceptual plate,1536x1024,high,opaque,123_14_3_composition_is_feeding_one_machine_into_another.png,"Composition means do one transformation, then feed its result into the next.",,machine-feeding plate,Embodied composition as output flowing into the next input.,"Create a transparent two-stage machine or pipe system where the output of the first transformation literally feeds the input of the second, producing a final transformed result. The scene should make function composition feel practical and spatial. Clean, glass-like, adult, with a sense of process rather than clutter."
124,subsection,14.4,14,Inverse functions and reflection,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,124_14_4_inverse_functions_and_reflection.png,Inverse functions are the same relation viewed with input and output exchanged.,Overlay diagonal line and axes after generation.,reflection plate,Show inversion as input-output swapping and reflection across y=x.,"Illustrate a graph and its inverse as reflections across a luminous diagonal mirror line representing y equals x. The swap of input and output should be visible both as mirrored curve geometry and as a conceptual exchange of roles. Elegant and precise, with strong visual symmetry and room for optional annotation overlays."
125,subsection,14.5,14,Historical note: Euler and the rise of function-thinking,V,Historical vignette,1024x1536,high,opaque,125_14_5_historical_note_euler_and_the_rise_of_function_thinking.png,Functions became powerful when the mapping itself became an object of thought.,,historical function montage,Place the abstraction of function in its historical emergence.,"Create a historical editorial scene where curves, formulas, and mappings begin to be treated as coherent objects in their own right. You can suggest Euler-era notation and paper culture without turning it into a portrait piece. The conceptual birth of function-thinking should dominate, not biographical trivia."
126,subsection,14.6,14,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,126_14_6_thought_experiments.png,Move between machine view and graph view until they feel like the same thing.,,mapping thought sketch,"Invite learners to think in mappings, graphs, and inverses.","Show a tiny input-output machine, its graph in the plane, and a reflected inverse partner, all in one sparse triad. The point is to let the learner ask: what stays the same when I switch viewpoints? Minimal, clear, encouraging."
127,subsection,15.1,15,A polynomial is a constructed transformation,H,Half-page conceptual plate,1536x1024,high,opaque,127_15_1_a_polynomial_is_a_constructed_transformation.png,A polynomial is a recipe built from familiar transformations.,,assembled-machine plate,"Make a polynomial feel assembled from shifts, scalings, and powers.","Illustrate a machine assembled from modules labeled only by their visual action: a power-raising chamber, a scaling lever, a shift block, and an addition junction, all combining to generate one smooth output curve. The image should communicate that a polynomial is built from operations we already understand. Editorial-machine style, adult and precise."
128,subsection,15.2,15,Roots are where the machine outputs zero,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,128_15_2_roots_are_where_the_machine_outputs_zero.png,A root is where the transformation lands exactly on zero.,Overlay exact curves later if needed.,zero-crossing plate,Turn roots into crossings where the transformation hits the horizontal axis.,"Show a polynomial curve crossing the x-axis at several points, with each crossing read as a place where the machine’s output vanishes. The axis should feel like a meaningful threshold, not just graph paper decoration. Elegant analytic illustration, optional overlay for curve specifics and factor hints."
129,subsection,15.3,15,The dimension insight: abstract polynomials are usually ratio-machines,S,Split-screen corrective plate,1536x1024,high,opaque,129_15_3_the_dimension_insight_abstract_polynomials_are_usually_ratio_machines.png,Polynomials usually live in the world of pure ratios unless coefficients carry the missing dimensions.,,dimension-discipline plate,Prevent dimensional nonsense by showing why raw lengths cannot usually be plugged into abstract polynomials unchanged.,"Create a split image where one side tries to add incompatible geometric species—a length term, an area term, a pure number term—and visibly fails to cohere, while the other side shows a clean dimensionless polynomial machine working on pure ratios. The image should feel like a powerful correction, not scolding. Transparent layers and type discipline are key."
130,subsection,15.4,15,Why polynomials matter so much,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,130_15_4_why_polynomials_matter_so_much.png,Polynomials matter because they are the first smooth language rich enough to approximate much more.,,gateway-curves plate,Show polynomials as the simplest smooth curves that approximate richer behavior.,"Design a bridge image in which simple polynomial curves act like scaffolding for more complicated smooth behaviors, gradually approximating richer functions. The composition should suggest that polynomials are the training ground and local language of calculus. Clean, elegant, future-leaning, with a sense of increasingly expressive smoothness."
131,subsection,15.5,15,Historical note: from Babylon to the Renaissance and beyond,V,Historical vignette,1024x1536,high,opaque,131_15_5_historical_note_from_babylon_to_the_renaissance_and_beyond.png,Polynomial thinking has been part of the subject’s backbone for millennia.,,long-polynomial-history montage,Give polynomial problem-solving a long civilizational arc.,Create a restrained historical montage from ancient equation-solving on clay or parchment through Renaissance algebraic ambition into modern curve-based understanding. Avoid turning it into a jumble of names; focus on the enduring desire to solve structured symbolic problems and see their geometric consequences. Warm history meeting modern clarity.
132,subsection,15.6,15,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,132_15_6_thought_experiments.png,Change the machine slightly and watch where its output hits zero.,,polynomial knob sketch,Invite the learner to imagine turning transformation knobs and watching axis crossings move.,"Show a simple curve with a few conceptual knobs for shifting up, stretching, or changing curvature, and watch its zero crossings slide. The sketch should feel like exploratory play for a serious mind, not gamification. Minimal, lucid, graph-like."
133,subsection,16.1,16,Calculus did not appear from nowhere,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,133_16_1_calculus_did_not_appear_from_nowhere.png,Calculus is not a new genre; it is the old scaffold under refinement.,,calculus-emergence bridge plate,Bridge all prior chapters into calculus as a natural culmination.,"Create a wide conceptual plate in which earlier motifs—ratio machine, nested intervals, slope as rate, accumulation by pieces, function curves—converge into a single calculus scene. The feeling should be inevitability, not abrupt novelty. This is the moment the reader realizes calculus is the same scaffold under a stronger microscope."
134,subsection,16.2,16,Derivative: the slope that survives zooming in,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,134_16_2_derivative_the_slope_that_survives_zooming_in.png,The derivative is the slope that remains after enough honest zooming.,"Overlay exact curve, point, and secant/tangent lines after generation.",secant-to-tangent zoom plate,Make the derivative feel like a stable answer emerging from repeated local refinement.,"Illustrate a curve under progressive zoom, with secant lines from nearby points settling toward one tangent line that survives the magnification. The image should make the derivative feel discovered through stabilization, not defined by symbolic ritual. Precision optics vibe, elegant analytic geometry, optional overlay for curve and secants."
135,subsection,16.3,16,Another lens: local linearity,H,Half-page conceptual plate,1536x1024,high,opaque,135_16_3_another_lens_local_linearity.png,Local linearity is the visual secret behind derivatives.,,microscope-of-curves plate,Offer a gentler intuition: every smooth curve looks straighter up close.,"Show a magnifying progression on a smooth curve where each closer view looks more and more like a straight line segment. The image should feel like a microscope discovering hidden linearity inside curvature. Clean, almost scientific-instrument aesthetic, but warm enough to reassure rather than intimidate."
136,subsection,16.4,16,Rates and units,S,Split-screen corrective plate,1536x1024,high,opaque,136_16_4_rates_and_units.png,"A derivative always says 'change in what, per change in what else?'",,rate-type-signature plate,Keep dimensional analysis alive inside derivative thinking.,"Design a split or layered image where one derivative is displacement over time, another is area over length, and the output type changes accordingly. The visual emphasis should be that derivatives are rates with units, not abstract slopes floating free of context. Graphs, unit tags, and physical meaning should coexist without clutter."
137,subsection,16.5,16,Integral: accumulation under refinement,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,137_16_5_integral_accumulation_under_refinement.png,An integral is what survives when accumulated pieces are refined honestly.,Overlay exact grid/rectangle lines later.,refined-rectangles plate,Make the integral feel like a stable total emerging from finer and finer pieces.,Illustrate area under a curve being approximated by rectangles that become thinner and more numerous until a smooth accumulated shape is trusted. The image should emphasize accumulation and refinement rather than rote symbols. Precision plus warmth; this is one of the book’s core conceptual images. Optional overlay for axes and partition lines.
138,subsection,16.6,16,The Fundamental Theorem of Calculus,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,138_16_6_the_fundamental_theorem_of_calculus.png,Accumulating rates and extracting rates are inverse partners.,,inverse-loop plate,Show derivative and integral as inverse-ish partners in one coherent visual loop.,"Create a looped conceptual image in which a curve generates an accumulated-area function, and then the local rate of that accumulated function returns the original curve. Use a thin growing area strip and a tangent-rate motif linked in one elegant cycle. This should feel like one of the grand closure moments of the book—two opposite processes locking together."
139,subsection,16.7,16,Taylor series: local information rebuilding the whole,H,Half-page conceptual plate,1536x1024,high,opaque,139_16_7_taylor_series_local_information_rebuilding_the_whole.png,Local information can rebuild astonishingly much of the whole.,,local-to-whole plate,Show increasingly rich local approximations reconstructing a function.,"Illustrate a complicated smooth curve with a sequence of local polynomial approximations: constant, tangent line, parabola, then richer curves hugging the original more closely near a chosen point. The image should feel like zoomed local data being used to rebuild the wider behavior. Elegant layering, clear color hierarchy, no overload."
140,subsection,16.8,16,"Historical note: Newton, Leibniz, then rigor",V,Historical vignette,1024x1536,high,opaque,140_16_8_historical_note_newton_leibniz_then_rigor.png,Calculus was invented powerfully before it was made fully rigorous.,,calculus-history montage,Place calculus inside both invention and later clarification.,"Create a disciplined historical montage: geometric tangent and area problems, then symbolic fluency with differentials, then later rigorous epsilon-limit refinement. The image should emphasize continuity more than rivalry. Think intellectual lineage, not duel narrative. Paper, diagrams, motion, measured modernity."
141,subsection,16.9,16,Common confusions to avoid,S,Split-screen corrective plate,1536x1024,high,opaque,141_16_9_common_confusions_to_avoid.png,Do not reduce calculus to symbol manipulation divorced from the process it compresses.,,confusion-killing split plate,"Kill the usual confusions: derivative is not just 'the formula you get', integral is not just 'area sometimes'.","Design a corrective plate with mistaken textbook shortcuts on one side—derivative as dead algebra, integral as only shaded area—and the fuller structural meanings on the other: stable local rate and accumulated quantity under refinement. The right side should feel like a return of life to the subject. Sharp contrast, sophisticated editorial design."
142,subsection,16.10,16,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,142_16_10_thought_experiments.png,"Zoom in, refine the pieces, and trust the stable thing that remains.",,calculus-thought sketch,Invite the learner to run a small internal movie of zooming and accumulation.,"Show a point on a curve under a zoom lens becoming straight, and beside it a strip of rectangles getting finer under the same kind of refining gaze. Sparse, elegant, mentally runnable. The image should feel like a private meditation on what survives refinement."
143,subsection,17.1,17,Euclidean geometry already trained us for this,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,143_17_1_euclidean_geometry_already_trained_us_for_this.png,"Relativity is strange, but it is still geometry organized by invariants.",,Euclid-to-spacetime bridge plate,"Show special relativity as a change of invariant, not a break from all prior geometry.","Create a bridge image that starts with the familiar Euclidean distance invariant in a spatial grid and then morphs into a spacetime grid where a different quadratic form is preserved. The viewer should feel continuity: this is still geometry, but the preserved quantity has changed. Austere, elegant, deeply structured."
144,subsection,17.2,17,Relativity changes the symmetry group,H,Half-page conceptual plate,1536x1024,high,opaque,144_17_2_relativity_changes_the_symmetry_group.png,The crucial change is which transformations preserve the world’s law.,,symmetry-group shift plate,Make the change from rotations to Lorentz transformations visually graspable.,"Illustrate two kinds of preserved structures side by side: Euclidean circles under rotations and hyperbola-like invariant structures under Lorentz-style spacetime transformations. The scene should feel like the rulebook of symmetry has changed while the game of preserving structure remains the same. Minimal, modernist, high clarity."
145,subsection,17.3,17,Energy and momentum form a spacetime-like object,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,145_17_3_energy_and_momentum_form_a_spacetime_like_object.png,Energy and momentum belong together as one invariant structure.,Formula overlay recommended after generation.,energy-momentum plate,Make the energy-momentum relation feel like another invariant vector story.,"Create a modernist plate where energy and momentum components assemble into a four-dimensional vector-like object, and an invariant relation glows as the preserved 'length' of that object. You need not literalize all four dimensions; instead, use layered projections and a Minkowski-style geometry cue. Precise, restrained, powerful. Optional overlay for formulas later."
146,subsection,17.4,17,Why this belongs in the same book,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,146_17_4_why_this_belongs_in_the_same_book.png,"The invariant becomes the law, whether in geometry or physics.",,same-scaffold plate,Show the continuity from earlier invariants to modern physics.,"Design a visual family portrait of invariants across the book: translation differences, rotational distances, scaling ratios, complex magnitudes, spacetime intervals, and energy-momentum invariants all arranged as descendants of one shared idea. The image should be explanatory, not merely decorative. The viewer should feel that relativity is a late chapter in the same long story."
147,subsection,17.5,17,"Historical note: Einstein, Minkowski, and the geometric upgrade",V,Historical vignette,1024x1536,high,opaque,147_17_5_historical_note_einstein_minkowski_and_the_geometric_upgrade.png,"The geometric recasting of physics was an upgrade in language, not mere ornament.",,relativity-history tableau,Historicize the move from physical principle to geometric language.,"Create a historically sensitive editorial scene where messy measurements and physical principles are re-expressed through a cleaner spacetime geometry. The image may hint at Einstein’s physical insight and Minkowski’s geometric recasting without turning into a biographical poster. Modern paper, chalkboards, light cones, disciplined restraint."
148,subsection,17.6,17,A brief modern echo: Noether,H,Half-page conceptual plate,1536x1024,high,opaque,148_17_6_a_brief_modern_echo_noether.png,Symmetry is not decoration; it generates conservation.,,Noether echo plate,Tie invariance to conservation law in a single memorable image.,"Illustrate a modern, clean conceptual scene in which a symmetry operation leaves an action-like system unchanged and, in a linked chamber, a conserved quantity remains steady. The relation between symmetry and conservation should feel almost magical but structurally crisp. Noether should appear as an intellectual presence, not a portrait requirement. Elegant, compressed, memorable."
149,subsection,17.7,17,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,149_17_7_thought_experiments.png,Change the frame and watch what changes; then notice what stubbornly does not.,,spacetime-thought sketch,Invite intuitive rehearsal of invariant change under changed frames.,"Show two observers slicing the same spacetime event pattern differently while one interval remains visually unchanged, alongside a tiny echo of a rotated Euclidean vector whose length stays fixed. Sparse and conceptual, like a notebook experiment comparing two kinds of invariance. Calm, modern, lucid."
150,subsection,18.1,18,Build the real numbers rigorously,H,Half-page conceptual plate,1536x1024,high,opaque,150_18_1_build_the_real_numbers_rigorously.png,"Rigor is reinforcement, not betrayal.",,foundation-deepening plate,"Make the next step feel like reinforcing a bridge pier, not restarting from scratch.","Illustrate the real number line under construction at a deeper level: nested intervals, Dedekind cuts, and Cauchy-like convergence as reinforcing beams under an already-walkable bridge. The image should say that rigor is reinforcement of intuition, not hostility to intuition. Architectural, calm, confidence-building."
151,subsection,18.2,18,Re-derive algebraic laws from the geometry,H,Half-page conceptual plate,1536x1024,high,opaque,151_18_2_re_derive_algebraic_laws_from_the_geometry.png,A law becomes trustworthy when you can see what geometry forced it.,,debt-paid plate,Frame proof of laws as paying down conceptual debt.,"Show familiar algebraic laws etched on translucent sheets hovering above the geometric constructions that generate them—distributivity from scaling joined segments, fraction rules from inverse scaling, sign rules from symmetries. The image should feel like debts being settled and slogans earning their keep. Elegant, scholarly, not overloaded."
152,subsection,18.3,18,Go deeper on Euler’s formula and complex exponentials,H,Half-page conceptual plate,1536x1024,high,opaque,152_18_3_go_deeper_on_euler_s_formula_and_complex_exponentials.png,This is one bridge worth walking farther than once.,,deep-Euler plate,Present deeper study as thickening one of the most beautiful bridges in the book.,"Create a richer version of the Euler bridge where complex exponentials, rotations, waves, and differential equations start to braid together. This should look like an invitation to a deeper chamber, not a rehash. Luminous, modernist, mathematically romantic without becoming cheesy."
153,subsection,18.4,18,Differential equations: laws of change become the object,H,Half-page conceptual plate,1536x1024,high,opaque,153_18_4_differential_equations_laws_of_change_become_the_object.png,Differential equations ask which curves obey a local law everywhere.,,field-of-solutions plate,Show the next frontier after derivative-as-rate: whole families of curves obeying local laws.,"Illustrate a slope field or directional texture in the plane giving rise to many possible solution curves that flow through it. The image should make the subject feel like geometry of laws rather than symbol warfare. Calm, organic, precise, future-facing."
154,subsection,18.5,18,Linear algebra as the grown-up form of transformation geometry,H,Half-page conceptual plate,1536x1024,high,opaque,154_18_5_linear_algebra_as_the_grown_up_form_of_transformation_geometry.png,Linear algebra is transformation geometry with more serious muscles.,,grown-up-transformations plate,"Show later study as deepening, not abandoning, the transformation viewpoint.","Create an image where simple arrows and grids from earlier chapters mature into richer linear-algebra structures: eigen-directions, matrix actions, coordinated transformations of space. The tone should be 'same story, larger room.' Clean engineering elegance, strong continuity with section 13."
155,subsection,18.6,18,Probability and statistics as structured uncertainty,H,Half-page conceptual plate,1536x1024,high,opaque,155_18_6_probability_and_statistics_as_structured_uncertainty.png,Probability is not the enemy of structure; it is structure under uncertainty.,,structured-uncertainty plate,"Open a door from deterministic geometry into distributions, inference, and information.","Show a cloud of data points, a smooth probability curve, and an information-like compression motif sharing one clean space. The image should avoid casino clichés completely. The point is that uncertainty can be structured, quantified, and reasoned about as carefully as geometry. Modern, calm, intellectually inviting."
156,subsection,18.7,18,Topology and geometry beyond rigid shape,H,Half-page conceptual plate,1536x1024,high,opaque,156_18_7_topology_and_geometry_beyond_rigid_shape.png,New mathematics often begins by changing the notion of sameness.,,beyond-rigid-shape plate,Invite curiosity about new sameness relations beyond congruence and similarity.,"Illustrate a shape smoothly deforming into another while preserving connectivity, alongside earlier rigid or similarity-preserving scenes fading in the background. The image should make topology feel like a new answer to the old question 'what counts as the same?' Elegant, tangible, not rubber-duck cartoon topology."
157,subsection,19.1,19,Abstract algebra: symmetry becomes the object itself,H,Half-page conceptual plate,1536x1024,high,opaque,157_19_1_abstract_algebra_symmetry_becomes_the_object_itself.png,Abstract algebra studies the structure of possible symmetries and compositions.,,symmetry-as-object plate,Show symmetry patterns detached from any single geometric carrier.,"Create a conceptual scene where concrete symmetries of shapes, equations, and transformations are distilled into a shared abstract pattern—like a crystalline network or operation table without text. The point is that the structure of composition itself has become the thing being studied. Modern, abstract, crisp, not decorative."
158,subsection,19.2,19,Topology: sameness under continuous deformation,H,Half-page conceptual plate,1536x1024,high,opaque,158_19_2_topology_sameness_under_continuous_deformation.png,Topology changes the answer to 'what counts as the same?',,continuous-deformation plate,"Make topological sameness feel like a new, gentler equivalence relation.","Show one shape slowly deforming into another without tearing or gluing, with continuity of the transformation foregrounded. The image should feel serious and elegant rather than novelty-driven. Use tangible surfaces and continuous motion traces so the learner feels what is preserved when rigid shape is no longer sacred."
159,subsection,19.3,19,Differential geometry: calculus on curved spaces,H,Half-page conceptual plate,1536x1024,high,opaque,159_19_3_differential_geometry_calculus_on_curved_spaces.png,Differential geometry asks calculus to live on curved worlds.,,curved-space plate,"Show curvature, local flatness, and calculus living together.","Illustrate a smooth curved surface with a tiny tangent plane attached locally, and perhaps a path or field flowing across it. The image should make clear that locally the space can still look linear enough for calculus, even while globally it bends. Clean, luminous, concept-driven, quietly beautiful."
160,subsection,19.4,19,"Analysis: rigor about limit, approximation, and continuity",H,Half-page conceptual plate,1536x1024,high,opaque,160_19_4_analysis_rigor_about_limit_approximation_and_continuity.png,Analysis is the culture of taking approximation and limit seriously.,,analysis refinement plate,Show analysis as the disciplined study of the refinement patterns already present throughout the book.,"Create a spare conceptual image composed of nested intervals, convergent sequences, approximation layers, and continuity of curves, all gathered under one austere visual language of precision. The point is not symbol overload but disciplined limit-thinking as a whole domain. Elegant and almost monastic."
161,subsection,19.5,19,"Probability, information, and computation",H,Half-page conceptual plate,1536x1024,high,opaque,161_19_5_probability_information_and_computation.png,"Modern mathematics also lives in information, uncertainty, and process.",,information-computation plate,"Connect modern mathematical thinking to uncertainty, encoding, and algorithmic process.","Design a contemporary image where probability clouds, encoded bit-like structures, and algorithmic flow diagrams share one coherent space. Avoid tech-bro cliché and glowing nonsense. The visual should suggest that modern mathematics studies pattern, uncertainty, and computation together in deep ways. Crisp, contemporary, intelligent."
162,subsection,19.6,19,Why this modern map matters for a recovering learner,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,162_19_6_why_this_modern_map_matters_for_a_recovering_learner.png,"Advanced mathematics is a landscape you can enter, not a wall built to exclude you.",,recovering-learner atlas plate,"Emotionally reframe advanced math as a navigable atlas, not a wall of alien jargon.","Create a compassionate but serious image of a person or implied viewpoint standing before a richly connected map of mathematical territories—algebra, topology, geometry, analysis, probability—where paths and bridges are visible instead of a forbidding cliff. The tone should be dignifying and invitational, never childish or self-help-ish. This image is about restoring agency."
163,subsection,19.7,19,Final thesis,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,163_19_7_final_thesis.png,"Across the whole book, the invariant under the right transformation becomes the real thing to understand.",,final-thesis synthesis plate,"Conclude with the book’s deepest claim: mathematics is organized by objects, transformations, and invariants across every scale.","Create a culminating synthesis image that gathers the book’s recurring motifs—segment, arrow, dilation rays, circle, graph, tangent, complex plane, spacetime grid—into one coherent constellation. The center of the composition should be the idea of invariance under transformation, with every chapter’s object orbiting it. Grand but disciplined, intellectually beautiful, emotionally earned."
164,extra,EXTRA-01,EXTRA,Cover / title page,F,Full-page opener,1024x1536,high,opaque,164_extra_cover_title_page.png,"From segment to spacetime, one scaffold.",,synthesis cover art,"Set the tone for the whole book: serious, beautiful, first-principles, transformation-centered, adult, and visually irresistible without becoming sci-fi wallpaper.","Create a cover illustration for an adult mathematics book that begins with a single segment and unfolds through arrow, circle, graph, complex plane, and spacetime grid into a coherent transformation-based cosmos. The composition should feel like mathematics growing from concrete geometry into modern abstraction without ever breaking its spine. Rich but disciplined, elegant typography space at top and center, no embedded text, no classroom cliché, no random equations floating in fog."
